Employee_Name,Employee_EmailID,Santa_Child_EmailID
Hamish Murray,hamish.murray@acme.com,hamish.murray.jr@acme.com
Layla Graham,layla.graham@acme.com,hamish.murray@acme.com
Matthew King,matthew.king@acme.com,mark.lawrence@acme.com
Benjamin Collins,benjamin.collins@acme.com,matthew.king.jr@acme.com
Isabella Scott,isabella.scott@acme.com,charlie.ross.jr@acme.com
Charlie Ross,charlie.ross@acme.com,ethan.murray@acme.com
Hamish Murray,hamish.murray.sr@acme.com,layla.graham@acme.com
Piper Stewart,piper.stewart@acme.com,charlie.wright@acme.com
Spencer Allen,spencer.allen@acme.com,matthew.king@acme.com
Charlie Wright,charlie.wright@acme.com,benjamin.collins@acme.com
Hamish Murray,hamish.murray.jr@acme.com,isabella.scott@acme.com
Charlie Ross,charlie.ross.jr@acme.com,hamish.murray.sr@acme.com
Ethan Murray,ethan.murray@acme.com,spencer.allen@acme.com
Matthew King,matthew.king.jr@acme.com,piper.stewart@acme.com
Mark Lawrence,mark.lawrence@acme.com,charlie.ross@acme.com
